AmbienteEscolar1,Rendimiento1,Progreso1,IndicadorEducacion,dane
15.35665,12.27128,23.35822,50.98616,105001010367
16.61152,10.39972,18.94959,45.96084,105001010448
14.93352,10.30267,18.02116,43.25735,105001010588
15.16291,10.78881,18.58116,44.53288,105001010855
12.81713,10.47236,16.19544,39.48493,105001011011
15.06463,11.65772,24.13279,50.85513,105001011061
16.9027,10.30384,18.08614,45.29267,105001011070
15.51863,10.21777,19.48313,45.21954,105001011088
15.84326,10.29148,20.14038,46.27512,105001011363
15.75316,10.70783,19.3938,45.85479,105001011461
15.06507,10.77618,19.84789,45.68914,105001011606
14.55437,12.24373,18.01512,44.81321,105001011631
15.16113,9.348871,17.05804,41.56805,105001011690
14.35335,10.98709,21.40167,46.74211,105001011711
15.4936,10.67451,20.55202,46.72012,105001011886
15.33141,10.14139,12.69816,38.17096,105001012092
15.3261,10.65681,20.99448,46.97739,105001012106
14.86325,9.944036,17.41907,42.22635,105001012165
14.29408,10.77502,18.26231,43.33141,105001012696
16.38094,8.349318,17.17905,41.90931,105001012700
15.21854,9.079768,17.41585,41.71416,105001013013
14.64238,10.38344,12.35263,37.37844,105001013072
15.74416,11.81708,22.3721,49.93334,105001013145
14.80682,12.08195,24.48559,51.37436,105001013340
15.31633,10.77225,17.73919,43.82777,105001013439
14.89634,10.02403,11.37364,36.294,105001013447
14.55362,9.941082,17.51297,42.00767,105001013633
13.92042,9.7526,17.62874,41.30176,105001014052
15.59268,10.88423,19.27868,45.75558,105001014397
15.87757,11.95139,21.23581,49.06477,105001014851
15.75806,10.14784,19.19504,45.10094,105001015091
13.95647,9.670747,18.8925,42.51971,105001015148
15.16376,9.779094,9.291544,34.2344,105001015172
14.95624,8.880032,14.41406,38.25034,105001015211
15.04664,9.580245,14.68169,39.30857,105001015229
15.60769,9.609399,12.06497,37.28206,105001015831
13.54636,11.10527,20.8274,45.47904,105001016420
14.05996,10.45774,20.39112,44.90882,105001017132
15.93491,8.191042,17.52611,41.65207,105001017876
15.17226,11.16667,17.55167,43.8906,105001017965
15.72366,10.54364,17.42332,43.69061,105001018759
15.5521,10.43518,17.92246,43.90975,105001019011
16.05717,10.36556,14.69492,41.11765,105001019062
14.33034,9.930119,12.41247,36.67292,105001019089
15.31636,10.61793,16.89804,42.83233,105001019194
15.14463,10.02066,17.01188,42.17718,105001019305
15.31135,10.49369,18.06782,43.87285,105001019330
15.45823,10.49771,20.54263,46.49857,105001019429
15.76398,9.541325,17.73951,43.04482,105001019453
15.79173,9.04291,17.31898,42.15362,105001019534
14.41004,11.39583,19.41667,45.22255,105001019674
14.17447,9.445062,16.3963,40.01582,105001019798
12.70367,10.26708,15.45849,38.42924,105001019925
16.24962,10.51254,18.18472,44.94688,105001020028
15.33219,11.08543,23.80819,50.2258,105001020052
16.29138,11.55786,17.78161,45.63086,105001020273
14.74485,9.931765,17.45802,42.13463,105001021199
15.50908,11.70939,21.67066,48.88913,105001021547
14.86966,10.26576,17.10084,42.23626,105001021636
14.40395,9.694529,16.14589,40.24437,105001021873
14.85031,9.971362,18.81932,43.64099,105001022101
16.06757,9.748873,16.63051,42.44696,105001023965
14.56679,10.83617,18.03116,43.43411,105001024073
13.82279,10.37861,16.57185,40.77325,105001025780
13.91253,11.26293,16.81856,41.99402,205001001389
14.79259,10.65794,19.21334,44.66387,205001001672
15.74168,9.682343,19.12387,44.54789,205001001966
13.73035,10.16223,17.25212,41.14471,205001002199
14.52774,9.682343,16.64634,40.85642,205001002768
15.36388,9.898322,14.62216,39.88436,205001006119
18.12456,11.40222,20.05156,49.57834,205001006224
14.18362,9.918334,18.55545,42.65741,205001006232
15.84205,10.80049,20.13196,46.7745,205001006526
13.05223,9.926314,19.7875,42.76605,205001007735
15.10537,10.89343,18.94412,44.94292,205001009797
14.87124,9.67113,18.71537,43.25774,205001009916
14.55411,10.32077,15.76641,40.64129,205001010264
15.50516,10.1133,17.47387,43.09233,205001010281
14.35802,11.91718,22.18107,48.45627,205001011031
15.10303,10.84875,20.10037,46.05215,205001012534
15.49461,10.88675,16.76901,43.15038,205001014308
12.98499,9.738579,13.85627,36.57985,205001018745
15.56771,10.91107,22.55032,49.0291,205001019318
15.4746,11.10233,18.4132,44.99013,105001025844
15.49654,10.5417,20.59709,46.63532,205001019989
14.59046,11.35502,17.89164,43.83712,205001021452
13.56977,11.50107,21.93404,47.00488,305001004854
16.96494,12.72379,22.81689,52.50562,305001007594
14.30097,10.21608,19.28481,43.80186,305001015287
14.17225,10.36506,17.03996,41.57726,305001015686
15.54243,10.23612,18.92861,44.70715,305001016542
15.7701,8.760565,17.77066,42.30133,305001018022
15.35062,12.28617,20.12874,47.76553,305001018839
14.31075,9.932243,18.71168,42.95467,305001019690
16.03933,10.01902,17.67992,43.73827,305001022232
