dane1,ExpectativasAcademicas,Comunicacion,Participacion,SeguridadRespeto,TemaMatematica07,TemaLenguaje07,prmatalto07,prlenalto07,TemaLenguaje10,TemaMatematica10,prmatalto10,prlenalto10,Avanzadom9,Avanzadom5,Avanzadol9,Avanzadol5,Aprobacion5,Aprobacion9,Rextraedad,ProgresoLen5,ProgresoLen9,ProgresoMat5,ProgresoMat9,ProgresoLen11,ProgresoMat11,iden1
105001001023,70.55129,68.782,68.15242,68.65403,47.67,49.19,0,0,44.05,42.42,0,0,0,13,0,11,97.70115,98.68421,98.50746,41.09042,46.7944,57.0612,46.54158,26.12233,40.14207,23
105001001121,70.76617,64.94969,63.58085,62.7922,44.48,49.19,0,0,46.16,42.42,0,0,1,11,1,11,97.88733,80,94.73685,47.87083,42.87234,49.53818,47.50532,33.25,52.55022,24
105001001155,77.09894,75.75311,70.96965,72.78015,44.48,45.01,0,0,46.215,45.01,1.724138,0,2,2,0,3,88.52459,87.61062,87.93104,44.66644,26.0055,53.09793,45.05996,51.81736,54.67541,25
105001001198,65.12747,62.16711,62.07535,66.05333,44.48,47.14,0,0,46.27,45.01,0,0,0,2,0,8,87.80488,85.71429,87.5,57.48404,53.91688,53.12337,49.60335,60.89011,54.67541,26
105001001236,68.49877,67.70169,64.21774,69.02032,40.82,47.14,0,0,46.27,42.42,2.325581,0,0,10,0,12,85.61151,85.13514,88.37209,62.73996,46.98526,59.07509,62.23036,60.89011,50.10484,27
105001001252,70.25191,71.42447,69.83117,62.58316,44.48,47.14,0,0,44.05,42.42,0,0,0,6,1,4,94.8718,81.05263,92.30769,36.59131,55.95338,28.54492,43.90189,10.08602,52.55022,28
105001001279,61.763,61.85161,60.56133,62.37589,40.82,45.01,0,.5714285,43.93,42.33,0,0,0,9,0,11,97.89916,61.59539,69.42675,47.74434,31.35982,43.40525,48.90352,42.5327,50.05107,29
105001001317,79.99194,77.30323,73.2498,77.39099,50.54,53.22,2.702703,0,50.31,47.7,3.448276,0,2.328843,14.01874,4.269654,19.15251,93.33334,94.80519,96.55172,50.15929,50.96592,47.81892,47.75997,49.94413,49.9581,30
105001001368,63.08799,61.64272,58.48816,58.5556,40.82,48.165,0,0,44.05,40.93,0,0,0,0,0,6,94.11765,86.79245,79.41177,49.42215,51.69389,49.77957,50.51942,23.13208,50.04032,31
105001001473,63.87436,62.66994,60.72145,61.14187,44.48,47.14,0,0,46.27,42.33,1.351351,0,0,7,0,10,90.79755,86.09272,85.13514,58.90958,56.62478,55.53006,36.43365,60.89011,50.85007,32
105001001490,68.89594,61.90056,65.38733,65.16447,44.48,49.19,0,0,48.28,45.16,0,.7272727,1,14,3,17,96.47887,90.78213,97.09091,54.64494,47.77368,51.26628,61.97648,63.96815,55.95052,33
105001001562,70.46182,64.22105,61.49772,65.26426,44.48,49.19,0,.3717472,50.31,47.59,.3125,.3125,1,9,4,9,100,97.4359,95.3125,60.59992,68.44311,52.14622,66.76646,83.17436,56.63058,34
105001001635,67.6189,64.8082,65.46296,63.69308,46.075,49.19,.7692308,0,48.37,47.59,2.531646,0,5,22,4,16,96.03175,87.10043,98.10126,61.01042,78.22883,53.62742,53.5286,77.9363,68.51821,35
105001001651,65.99158,60.66924,59.65522,56.50459,44.48,47.14,0,0,46.16,46.375,0,0,4,9,2,7,92.10526,97.61904,93.90244,54.05738,58.29776,56.78852,41.95435,37.6129,56.54557,36
105001001660,69.32881,70.91994,66.36967,61.43663,44.48,47.14,0,0,46.16,39.53,0,0,0,3,0,4,89.38053,75,86.30137,23.32435,31.93456,28.58911,50.41981,37.6129,31.33151,37
105001001686,71.9817,67.84272,65.77175,64.79306,44.48,45.01,0,0,41.64,45.01,0,0,0,10,0,0,88.46153,77.41935,87.5,32.50911,64.11205,55.27041,73.18408,37.5545,54.67541,38
105001001791,69.12766,66.41017,62.19014,67.243,44.48,51.21,0,0,46.16,47.59,1.960784,0,0,18,0,13,92.18384,70.58823,96.07843,66.33516,55.48241,65.2066,34.06517,46.71415,56.63058,39
105001001805,69.20962,70.65967,69.59401,61.66253,42.65,45.01,0,0,44.05,42.33,0,0,0,2,0,3,95.17544,84.42623,89.15663,51.29347,30.25806,53.28463,25.03226,50.07902,50.72992,40
105001001848,72.42432,67.1657,64.62215,71.38964,47.67,49.19,1.694915,0,46.27,45.16,4.225352,0,8,15,5,18,83.05085,86.17021,98.59155,65.41885,77.29032,63.59212,80.19355,42.87234,49.75956,41
105001002003,75.6965,73.74723,69.56084,67.37867,44.48,51.21,0,0,46.27,45.16,0,0,0,6,4,7,100,81.39535,94.11765,35.47986,48.03501,29.07572,36.7074,48.05836,55.95052,43
105001002011,68.99065,63.28571,61.32606,58.96675,47.67,49.19,.5524862,0,46.16,42.42,.4149378,0,0,8,2,3,94.68085,89.0845,75.93361,39.98083,66.45726,37.17724,42.53301,33.25,40.14207,44
105001002020,70.68806,67.77143,66.00427,69.42262,44.48,45.01,0,0,46.01811,43.68331,.2565582,.0665065,1,14,4,19,98.78049,85.06493,88.92368,67.92999,73.56983,46.90322,67.02265,56.17076,53.41537,45
105001002038,61.69485,56.86932,59.55549,55.80635,47.67,47.14,0,0,46.215,50.42,0,0,0,13,10,8,94.2623,91.66667,90.47619,52.00727,73.95112,52.35373,69.87434,59.07509,83.31451,46
105001002071,69.03188,67.82332,69.16833,63.66788,44.48,45.01,0,0,41.64,36.5,0,0,2,0,2,2,91.39785,73.61111,22.22222,45.02678,47.23387,43.55425,41.70161,37.5545,28.99795,47
105001002101,65.76753,64.978,60.69828,63.86394,47.67,49.19,0,0,46.215,42.42,1.351351,0,2,11,0,6,92.07317,84.11215,100,49.35746,49.51748,46.31241,45.10239,41.80319,40.14207,48
105001002119,67.93415,64.36774,61.7095,63.4353,44.48,47.14,0,0,46.16,42.33,.9661835,0,1,12,1,23,88.65079,77.27273,73.42995,73.9945,42.5039,63.89894,46.25195,37.6129,50.85007,49
105001002135,78.16733,75.21792,72.20929,71.19365,44.48,51.21,0,0,46.27,42.42,0,1.694915,0,2,0,2,92.5434,94.62366,79.66102,44.12097,29.70376,50,40.83395,48.05836,52.55022,50
105001002305,73.70952,72.64172,72.84265,72.58533,44.48,45.01,0,0,46.16,42.33,0,0,0,2,0,5,97.77778,87.17949,85.33334,55.23774,53.25169,41.68816,46.8891,50.86917,50.85007,51
105001002348,66.61977,66.78024,68.12097,63.19666,44.48,49.19,1.526718,0,46.27,42.33,.6535948,0,0,4,0,6,82.85715,94.31818,88.2353,51.29443,24.01049,50.64721,40.31763,42.87234,50.85007,52
105001002356,80.15968,75.82259,71.22014,66.63608,44.48,47.14,0,0,46.16,42.42,0,0,0,3,0,5,98.69546,91.08911,86.88525,51.68306,52.71936,42.62878,47.94716,37.6129,52.55022,53
105001002461,69.44183,65.9958,63.53237,69.18729,44.48,45.01,0,0,46.27,47.7,3.125,1.041667,2,15,6,19,100,78.89909,88.54167,55.76813,68.14516,52.21181,57.72849,51.93589,57.22564,54
105001002470,66.36845,61.8623,63.01808,63.24267,44.48,45.01,0,0,46.27,42.42,.4291846,0,0,5,1,5,97.20732,90.13926,95.27897,53.36489,53.7783,50.87093,59.65566,51.93589,52.55022,55
105001002488,71.08318,70.79278,68.59869,64.33068,44.48,45.01,0,0,44.05,45.01,0,0,2,4,0,5,98.88889,82.14286,87.5,17.54095,50.33524,17.69079,50,50.07902,54.67541,56
105001002496,70.48094,68.3243,68.61728,65.57517,47.67,47.14,4.081633,0,46.27,47.59,2.352941,1.176471,0,10,0,5,100,88.88889,88.2353,55.89186,58.70968,52.64418,55.22581,60.89011,63.71774,57
105001002526,65.82133,63.90319,64.06173,60.31719,44.48,47.14,0,0,44.05,42.33,.5102041,0,0,6,0,6,97.48808,96.34146,76.53061,38.25855,39.64458,50.48661,33.27202,10.08602,50.85007,58
105001002780,63.56579,64.4778,56.62955,55.40994,44.48,45.01,0,0,45.105,39.53,0,0,0,2,0,4,97.56097,72.30769,90.47619,50.30413,50.15365,50.11174,50.09778,50.71114,31.33151,59
105001002798,71.90284,71.26527,65.96913,71.69092,44.48,50.2,0,0,50.4,50.28,6.521739,0,0,21,7,24,89.13044,93.18182,93.47826,49.06299,51.74862,48.79781,45.60887,59.64365,57.39565,60
105001002895,70.42378,67.95866,65.99232,67.24525,47.67,49.19,0,.6289308,48.37,47.59,2.597403,0,3,7,2,19,94.98046,69.23077,93.50649,63.70694,65.13979,56.37256,54.12903,77.9363,63.71774,61
105001002976,69.4484,69.09654,67.9086,67.40716,46.075,47.14,0,0,44.05,42.33,0,0,0,8,0,6,88.76405,82.55814,97.56097,52.04018,53.89634,55.05701,53.33972,10.08602,32.80204,62
105001003123,66.96498,64.52546,58.39308,61.58163,47.67,47.14,0,0,48.28,45.085,1.428571,0,0,13,3,16,97.05882,83.56164,90,65.98809,65.32447,46.96807,54.2766,77.83028,49.03825,63
105001003131,61.88074,58.91743,60.36875,58.81763,44.48,45.01,0,0,46.27,42.42,0,0,0,2,0,4,80.34188,90,82.35294,51.95968,61.04787,50.75368,65.32447,51.93589,52.55022,64
105001003221,76.35852,73.87595,71.52731,68.3806,44.48,45.01,0,0,44.05,42.42,0,0,2,4,2,7,94.44444,97.10145,91.66667,53.44086,23.23417,50.83962,16.19053,50.07902,52.55022,65
105001003271,73.16912,70.78136,69.08899,66.11163,40.82,45.01,0,0,48.325,45.085,1.923077,0,0,8,2,13,95.38461,74.64789,80.76923,56.38738,66.14199,51.98323,68.92509,53.35817,50.2043,66
105001003280,66.60493,67.04051,63.41311,60.19641,44.48,47.14,0,.5025126,44.05,39.53,0,0,0,11,0,11,98.95833,83.33333,73.04964,47.69155,58.29839,48.85746,67.51881,10.08602,31.33151,67
105001003298,68.82972,63.95752,64.80399,68.08923,44.48,49.19,0,0,46.16,42.33,0,0,1,6,5,18,98.92473,95.3917,98.15951,49.17896,54.72308,49.45677,46.28816,33.25,50.85007,68
105001003387,73.66975,70.08162,70.61718,61.66108,44.48,45.01,0,0,44.05,42.33,0,0,0,7,1,3,90.63492,81.18279,88.96552,47.16393,46.52951,46.15142,28.02024,50.07902,50.85007,69
105001003425,79.57437,73.01574,70.83721,77.88612,44.48,49.19,0,0,46.27,45.01,1.485149,0,0,12,1,11,92.43243,80.92105,87.62376,50.39237,49.39891,50.10384,48.94809,42.87234,54.67541,70
105001003441,67.38572,59.46839,59.84905,56.13708,47.67,49.19,1.351351,0,50.4,55.62,5.617978,0,8,24.53366,5,22.45253,90.41862,80.95238,98.8764,59.85815,59.31286,54.61293,52.03032,88.41241,87.23387,71
105001003450,72.83395,67.30186,65.6195,67.61047,47.67,49.19,0,0,48.28,42.42,0,1.219512,0,11,7,11,99.29578,90.38461,96.34146,47.17368,48.22522,42.88361,39.87056,63.96815,40.14207,72
105001004472,77.86079,72.90368,69.81088,74.65044,50.54,49.19,0,0,49.34,45.085,0,0,2,26,14,45,90.58823,97.4026,100,69.23499,55.50624,75.9305,55.97394,81.42834,49.70667,73
105001004791,72.98604,65.75423,61.29147,67.25874,47.67,53.22,0,0,52.29,52.66,5.376344,1.075269,3,33,11,35,83.66013,91.59664,96.7742,62.4173,49.91499,50,48.97991,52.60793,85.27419,74
105001005291,73.81323,71.00333,68.79401,67.14575,44.48,45.01,0,0,46.27,42.42,0,0,0,7,0,11,76.08696,69.44444,92.64706,55.79602,53.10432,38.91196,28.84151,51.93589,52.55022,75
105001005339,72.85081,75.66913,75.0094,64.11073,44.48,47.14,0,0,46.16,42.33,1.030928,0,0,4,0,6,97.10624,90.60403,81.4433,37.55437,36.30693,50,49.55829,37.6129,50.85007,76
105001005347,65.65382,66.88254,64.99322,66.57073,44.48,47.14,0,.7575758,46.27,42.42,0,.8547009,0,13,2,10,91.96912,81.24574,93.16239,49.55107,38.50489,47.67435,42.13492,60.89011,52.55022,77
105001005410,71.62813,68.50412,69.5191,70.75396,46.075,47.14,0,0,47.275,45.085,1.282051,0,0,9,0,4,97.4359,79.48718,96.15385,36.77634,38.29285,37.00743,25.12232,76.62026,49.70348,79
105001005495,68.97793,65.6833,65.83757,60.73234,44.48,47.14,0,0,43.93,42.42,0,0,0,12,4,11,88.2353,84.07643,97.72727,56.22332,67.89247,58.84077,62.3871,3.204301,52.55022,80
105001005525,63.80748,62.0948,57.00581,59.82512,44.48,42.76,0,0,44.05,39.53,0,0,0,0,0,0,91.07143,87.67123,92.10526,50.16762,51.02644,50.42076,53.48991,50.01882,31.33151,81
105001005878,69.26619,63.43705,67.02742,67.74767,44.48,42.76,0,0,46.16,42.33,.6329114,0,0,3,1,3,80,61.67664,69.62025,51.50856,38.6651,51.87402,32.36793,50.07258,50.85007,82
105001006068,75.78587,73.12725,70.11789,72.49341,46.075,45.01,0,0,46.16,42.42,0,0,2,7,6,34,95,76.31579,96.20254,80.3947,59.2364,52.51603,58.25471,50.86917,38.73238,83
105001006092,68.76069,65.37081,60.7464,66.80536,44.48,49.19,2.409638,0,48.28,45.01,0,0,0,8,4,11,90.21739,96.66666,98.66667,64.52014,71.90986,56.58527,42.11436,63.96815,54.67541,84
105001006181,70.69241,66.6557,64.63734,63.45175,44.48,47.14,1.149425,0,46.27,45.01,1.428571,0,0,5,0,3,96.875,90.9091,94.28571,52.46522,52.51879,50.93169,68.89095,60.89011,54.67541,85
105001006246,71.72303,71.96504,69.22242,63.18344,44.48,47.14,0,0,48.28,42.42,1.694915,0,0,2,0,7,95.29412,76.78571,84.74577,37.22581,20.75743,34.86021,26.19791,77.83028,52.55022,86
105001006483,63.14412,61.7915,60.41005,60.7687,47.67,47.14,0,0,46.16,40.975,0,0,0,4,0,4,97.05882,91.89189,92.30769,52.55471,50.19769,55.79602,50.02281,37.6129,35.09288,87
105001006718,76.29577,72.47375,70.03648,74.43282,42.65,45.01,0,0,46.27,42.42,1.075269,0,0,5,1,10,85.79203,93.58974,92.47312,49.32065,40.83944,48.40688,45.61886,51.93589,51.94645,88
105001006980,77.6556,71.36644,73.20613,65.40892,47.67,49.19,1.749271,.2915452,48.28,45.01,2.167183,0,2,8,3,9,96.9697,55.91398,83.59133,52.69741,63.26819,47.14539,42.53889,63.96815,46.153,89
105001007111,66.20095,63.05758,60.56594,64.47556,44.48,47.14,0,0,44.05,40.93,0,0,0,6,0,2,91.01124,85.89743,84.78262,46.66696,48.38708,48.12236,50.69115,10.08602,50.51004,90
105001007188,70.41151,65.04269,64.75366,65.8355,44.48,47.14,0,0,46.16,45.16,0,0,1,5,0,7,93.50649,86.07595,89.76378,46.31183,54.08036,34.80265,53.57031,37.6129,55.95052,91
105001007218,73.94738,72.70853,71.22239,67.59535,47.67,47.14,0,0,46.16,42.42,1.052632,0,1,0,1,4,84.0909,90.19608,82.10526,50.13686,56.12054,50.54744,58.84077,37.6129,40.14207,92
105001007421,77.1104,70.74101,68.21939,68.75323,44.48,47.14,0,0,48.28,47.59,0,0,0,20,2,11,98.73418,85.2076,94.73685,60.93706,77.03649,64.44892,34.58195,77.83028,56.63058,93
105001007439,59.23926,62.45396,59.08289,57.75525,44.48,47.14,0,0,44.05,42.42,0,0,0,3,0,8,100,89.41177,94.54546,47.67742,53.80201,60.18278,52.53467,10.08602,52.55022,94
105001007889,66.97778,65.58018,63.54054,66.19788,44.48,43.885,0,0,48.28,47.59,0,0,2,6,0,2,93.75,92.45283,88.88889,41.47227,41.66218,51.13142,68.99849,52.34426,56.63058,95
105001007978,69.16975,68.60779,69.07986,62.22084,44.48,45.01,0,0,46.27,42.33,0,0,0,3,0,1,68.54839,78.84615,81.57895,51.09528,51.45984,51.16129,50.66909,51.93589,50.85007,96
105001008249,75.78704,68.60913,68.61863,69.33383,44.48,47.14,0,0,43.93,42.33,0,0,0,2,2,4,94.38203,90.8046,94.59459,57.05645,55.7394,31.51106,52.77194,3.204301,50.85007,97
105001008389,67.32115,64.39826,61.90729,61.5792,44.48,46.075,0,0,46.27,43.715,0,0,0,6,0,8,94.51219,94.57364,90.2439,50.65472,52.24511,35.8776,42.55663,61.03226,54.50539,98
105001008451,61.29272,61.9013,58.50689,53.31554,44.48,45.01,0,0,46.27,45.01,0,0,0,2,2,8,92.35669,89.76378,87.5,50.70572,52.9113,27.17856,41.98996,51.93589,54.67541,99
105001008486,74.19608,67.02691,67.19371,65.40299,44.48,49.19,0,0,46.27,39.53,1.818182,0,0,6,2,12,62.71186,78.125,87.27273,57.22581,50.2075,56.95339,49.36588,42.87234,31.33151,100
105001009652,74.03514,69.53638,69.97217,66.22906,40.82,45.01,0,0,46.215,42.33,0,0,0,4,0,9,98.73418,98.11321,89.70589,43.68632,19.40146,45.1768,30.38555,51.81736,50.05107,101
105001009695,69.98434,67.44294,66.59343,73.13779,44.48,49.19,0,0,48.28,45.01,0,0,0,20,0,34,90.10989,93.82716,100,49.75956,51.36581,49.16038,44.86386,63.96815,54.67541,102
105001009709,67.68205,68.19932,65.22505,64.40977,44.48,47.14,0,0,43.93,42.42,0,0,2,6,0,16,96.61745,85.04673,86.48649,46.05743,50.54099,51.31862,50.60109,3.204301,52.55022,103
105001009865,71.14523,67.33195,66.53763,62.98752,47.67,48.165,0,0,46.27,42.42,0,0,0,8,2,16,94.65649,85.10638,86.53846,52.54079,58.18608,49.64793,67.63155,42.86321,40.14207,104
105001010111,67.22665,63.90145,63.47788,65.65635,43.85324,46.3712,-.2688405,-.0089355,44.05,39.53,0,0,0,16,0,5,89.56522,78.37838,85.29411,42.27151,49.14898,48.03585,44.31758,45.21617,48.71401,105
105001010367,72.65508,68.32257,63.01791,72.61498,44.48,49.19,0,0,46.27,45.01,0,0,2,18,7,25,100,100,92.06349,60.69681,66.98792,57.56985,100.9638,42.87234,54.67541,106
105001010448,78.87188,75.36131,72.79828,71.03245,44.48,45.01,0,0,46.16,42.42,0,0,0,4,0,7,94.77064,93.95604,90.55118,50.33848,39.94012,49.58478,53.58457,50.86917,52.55022,107
105001010588,70.34659,66.54921,65.56603,65.8001,44.48,47.14,0,0,46.16,42.375,1.587302,0,0,4,0,6,94.24453,98.0695,83.33333,49.46989,50.53008,48.35073,49.10551,37.6129,52.46522,108
105001010855,70.175,67.52643,64.63004,70.66562,47.67,51.21,0,0,46.16,42.42,0,0,.4951836,9,1.231013,6,95.97701,74.44444,88.88889,54.28402,50.61535,56.98473,48.96091,46.71415,40.14207,109
105001011011,60.7964,56.01826,52.84317,61.31276,44.48,47.14,0,0,46.215,39.53,0,0,0,7,0,11,97.61904,88.88889,85.29411,41.18396,44.8768,41.7218,36.33275,59.07509,31.33151,110
105001011061,72.15289,67.11811,65.57767,65.62862,44.48,47.14,0,1.492537,48.28,47.59,0,0,0,8,5,14,98.83721,93.25843,100,57.33993,68.34874,56.18396,64.82014,77.83028,56.63058,111
105001011070,80.02045,76.57378,75.05121,71.53479,44.48,47.14,0,0,46.16,42.33,0,0,0,3,1,4,94.31159,85.71429,90.32258,51.45984,56.63733,51.99142,40.91838,37.6129,50.85007,112
105001011088,71.54013,69.18002,69.72356,68.36,44.48,45.01,1.388889,0,45.105,40.93,0,0,0,0,0,6,91.30435,89.90826,95,51.26425,53.76843,50.78222,52.44948,50.71114,50.51004,113
105001011363,75.48724,70.3642,67.89536,71.02391,44.48,45.01,0,0,46.27,42.33,0,0,0,2,0,4,98.36066,81.76796,95.04132,53.33587,57.58552,50.32765,57.26945,51.93589,50.85007,114
105001011461,72.49315,70.786,68.66703,71.37663,44.61733,46.7368,.1141092,.0534725,46.27,42.42,0,0,0,5,2,10,93.85794,91.35802,91.83673,53.85471,52.97358,53.01474,49.81254,48.49416,50.05762,115
105001011606,71.72633,67.45187,66.48869,64.68354,44.48,49.19,1.25,0,46.27,42.42,1.333333,0,1,7,5,4,91.1324,89.43089,90.66666,50.88342,62.31734,54.19811,57.18512,42.87234,52.55022,116
105001011631,68.59856,63.09319,65.05945,64.7989,44.48,49.19,0,0,46.27,43.715,.6024096,0,1,30,1,20,95.83333,81.25,95.18073,48.7451,41.47301,49.34206,45.73651,42.87234,54.50539,117
105001011690,72.70512,69.2204,66.77245,63.05577,44.48,42.76,0,0,46.16,42.33,.8474576,0,0,7,0,0,89.33333,66.95652,66.94915,46.35952,33.80439,46.5684,34.96122,50.07258,50.85007,118
105001011711,67.43496,64.38559,61.98971,64.17612,42.65,47.14,0,0,46.27,42.42,0,0,0,4,2,16,100,91,95.58823,68,59.73222,55.5658,40.75553,60.89011,51.94645,119
105001011886,71.61578,70.69577,68.29587,67.65337,44.48,49.19,0,0,48.28,45.01,2.352941,0,0,3,0,2,92.82375,95.80838,94.11765,52.97173,51.78106,49.31286,48.00392,63.96815,54.67541,120
105001012092,73.01017,69.3906,65.19685,67.83972,44.48,45.01,0,0,46.27,45.16,0,0,1,5,0,2,78.47787,91.12904,85.71429,28.19292,53.06027,41.93597,-48.00956,51.93589,55.95052,121
105001012106,71.6651,70.27631,64.35313,69.30361,44.48,45.01,0,0,46.16,42.33,0,0,1,12,1,16,98.88889,92.30769,74.05063,64.47213,66.8978,41.48867,63.51825,50.86917,50.85007,122
105001012165,72.45088,68.10714,68.43827,56.5976,44.48,45.01,0,0,44.05,42.42,1.960784,0,0,1,0,3,94.10409,90.38631,85.29411,47.20436,43.70256,46.61843,29.53332,50.07902,52.55022,123
105001012696,67.80783,64.82982,60.82832,63.35751,47.67,49.19,1.081081,0,46.16,45.16,0,0,0,6,0,10,98.06451,69.65174,87.66234,50.64536,57.05376,50.41712,54.8172,33.25,49.75956,124
105001012700,78.30194,78.1902,72.95653,63.46847,44.48,43.885,0,0,45.105,39.53,0,0,0,2,0,4,71.08434,81.875,38.63636,48.56966,50.53764,44.86277,50.36559,50.57104,31.33151,125
105001013013,69.49812,72.69357,67.834,62.75334,43.805,44.85967,-.1108706,-.037134,44.05,39.53,0,0,0,1,0,3,89.76378,72.61904,66,40.0196,48.42479,50.72992,44.48365,43.83454,48.68141,126
105001013072,66.05361,66.54422,67.11111,63.18429,44.48,47.14,0,0,44.05,40.93,0,0,0,6,0,7,87.25383,82.7957,93.10345,38.71149,20.7679,46.36759,26.81592,10.08602,50.51004,127
105001013145,76.15298,68.97577,68.5208,69.08673,46.075,49.19,0,0,50.31,47.59,0,0,4,10,8,12,90.8397,90.9091,94.31818,43.96825,62.59488,35.52787,50,83.17436,68.51821,128
105001013340,73.34827,64.12927,67.18286,60.52723,47.67,49.19,1.285047,.2336449,50.31,47.81,2.130177,.1183432,2,12,4,17,89.9715,78.40467,98.57988,58.00094,49.81158,53.96086,47.3621,83.17436,79.39516,129
105001013439,74.62337,67.94734,65.92876,66.42339,44.48,47.14,0,0,46.27,45.085,1.923077,0,0,3,0,10,97.26027,92.30769,92.30769,53.65401,52.58694,42.5039,3.836016,60.89011,55.6955,130
