dane,ExpectativasAcademicas,Comunicacion,Participacion,SeguridadRespeto,tema_matematica,tema_lenguaje,prmat_alto_07_p,prlen_alto_07_p,tema_lenguaje_d,tema_matematica_d,prmat_alto_10_p,prlen_alto_10_p,Progresolen11,Progresomat11,aprobación5,aprobación9,rtextra,Progresolen5,Progresolen9,Progresomat5,Progresomat9,avanzado_m9,avanzado_m5,avanzado_l9,avanzado_l5
105001002038,61.69485,56.86932,59.55549,55.80635,47.67,47.14,0,0,46.215,50.42,0,0,59.07509,83.31451,94.2623,91.66667,90.47619,52.00727,73.95112,52.35373,69.87434,0,13,10,8
105001002071,69.03188,67.82332,69.16833,63.66788,44.48,45.01,0,0,41.64,36.5,0,0,37.5545,28.99795,91.39785,73.61111,22.22222,,47.23387,,41.70161,2,0,2,2
105001002101,65.76753,64.978,60.69828,63.86394,47.67,49.19,0,0,46.215,42.42,1.351351,0,41.80319,40.14207,92.07317,84.11215,100,49.35746,,46.31241,,2,11,0,6
105001002119,67.93415,64.36774,61.7095,63.4353,44.48,47.14,0,0,46.16,42.33,.9661835,0,37.6129,50.85007,88.65079,77.27273,73.42995,73.9945,42.5039,63.89894,46.25195,1,12,1,23
105001002135,78.16733,75.21792,72.20929,71.19365,44.48,51.21,0,0,46.27,42.42,0,1.694915,48.05836,52.55022,92.5434,94.62366,79.66102,44.12097,29.70376,50,40.83395,0,2,0,2
105001002305,73.70952,72.64172,72.84265,72.58533,44.48,45.01,0,0,46.16,42.33,0,0,50.86917,50.85007,97.77778,87.17949,85.33334,55.23774,,41.68816,,0,2,0,5
105001002348,66.61977,66.78024,68.12097,63.19666,44.48,49.19,1.526718,0,46.27,42.33,.6535948,0,42.87234,50.85007,82.85715,94.31818,88.2353,51.29443,24.01049,50.64721,40.31763,0,4,0,6
105001002356,80.15968,75.82259,71.22014,66.63608,44.48,47.14,0,0,46.16,42.42,0,0,37.6129,52.55022,98.69546,91.08911,86.88525,51.68306,,42.62878,,0,3,0,5
105001002461,69.44183,65.9958,63.53237,69.18729,44.48,45.01,0,0,46.27,47.7,3.125,1.041667,51.93589,57.22564,100,78.89909,88.54167,,68.14516,,57.72849,2,15,6,19
105001002470,66.36845,61.8623,63.01808,63.24267,44.48,45.01,0,0,46.27,42.42,.4291846,0,51.93589,52.55022,97.20732,90.13926,95.27897,,53.7783,,59.65566,0,5,1,5
105001002488,71.08318,70.79278,68.59869,64.33068,44.48,45.01,0,0,44.05,45.01,0,0,50.07902,54.67541,98.88889,82.14286,87.5,17.54095,50.33524,17.69079,50,2,4,0,5
105001002496,70.48094,68.3243,68.61728,65.57517,47.67,47.14,4.081633,0,46.27,47.59,2.352941,1.176471,60.89011,63.71774,100,88.88889,88.2353,,58.70968,,55.22581,0,10,0,5
105001002526,65.82133,63.90319,64.06173,60.31719,44.48,47.14,0,0,44.05,42.33,.5102041,0,10.08602,50.85007,97.48808,96.34146,76.53061,38.25855,39.64458,50.48661,33.27202,0,6,0,6
105001002780,63.56579,64.4778,56.62955,55.40994,44.48,45.01,0,0,45.105,39.53,0,0,50.71114,31.33151,97.56097,72.30769,90.47619,50.30413,50.15365,50.11174,50.09778,0,2,0,4
105001002798,71.90284,71.26527,65.96913,71.69092,44.48,50.2,0,0,50.4,50.28,6.521739,0,59.64365,57.39565,89.13044,93.18182,93.47826,49.06299,,48.79781,,0,21,7,24
105001002895,70.42378,67.95866,65.99232,67.24525,47.67,49.19,0,.6289308,48.37,47.59,2.597403,0,77.9363,63.71774,94.98046,69.23077,93.50649,63.70694,65.13979,56.37256,54.12903,3,7,2,19
105001002976,69.4484,69.09654,67.9086,67.40716,46.075,47.14,0,0,44.05,42.33,0,0,10.08602,32.80204,88.76405,82.55814,97.56097,52.04018,53.89634,55.05701,53.33972,0,8,0,6
105001003123,66.96498,64.52546,58.39308,61.58163,47.67,47.14,0,0,48.28,45.085,1.428571,0,77.83028,49.03825,97.05882,83.56164,90,65.98809,65.32447,46.96807,54.2766,0,13,3,16
105001003131,61.88074,58.91743,60.36875,58.81763,44.48,45.01,0,0,46.27,42.42,0,0,51.93589,52.55022,80.34188,90,82.35294,51.95968,61.04787,50.75368,65.32447,0,2,0,4
105001003221,76.35852,73.87595,71.52731,68.3806,44.48,45.01,0,0,44.05,42.42,0,0,50.07902,52.55022,94.44444,97.10145,91.66667,53.44086,23.23417,50.83962,16.19053,2,4,2,7
105001003271,73.16912,70.78136,69.08899,66.11163,40.82,45.01,0,0,48.325,45.085,1.923077,0,53.35817,50.2043,95.38461,74.64789,80.76923,,66.14199,,68.92509,0,8,2,13
105001003280,66.60493,67.04051,63.41311,60.19641,44.48,47.14,0,.5025126,44.05,39.53,0,0,10.08602,31.33151,98.95833,83.33333,73.04964,,58.29839,,67.51881,0,11,0,11
105001003298,68.82972,63.95752,64.80399,68.08923,44.48,49.19,0,0,46.16,42.33,0,0,33.25,50.85007,98.92473,95.3917,98.15951,,54.72308,,46.28816,1,6,5,18
105001003387,73.66975,70.08162,70.61718,61.66108,44.48,45.01,0,0,44.05,42.33,0,0,50.07902,50.85007,90.63492,81.18279,88.96552,,46.52951,,28.02024,0,7,1,3
105001003425,79.57437,73.01574,70.83721,77.88612,44.48,49.19,0,0,46.27,45.01,1.485149,0,42.87234,54.67541,92.43243,80.92105,87.62376,,49.39891,,48.94809,0,12,1,11
105001003441,67.38572,59.46839,59.84905,56.13708,47.67,49.19,1.351351,0,50.4,55.62,5.617978,0,88.41241,87.23387,,80.95238,98.8764,,,,,8,,5,
105001003450,72.83395,67.30186,65.6195,67.61047,47.67,49.19,0,0,48.28,42.42,0,1.219512,63.96815,40.14207,99.29578,90.38461,96.34146,47.17368,,42.88361,,0,11,7,11
105001004472,77.86079,72.90368,69.81088,74.65044,50.54,49.19,0,0,49.34,45.085,0,0,81.42834,49.70667,90.58823,97.4026,100,69.23499,,75.9305,,2,26,14,45
105001004791,72.98604,65.75423,61.29147,67.25874,47.67,53.22,0,0,52.29,52.66,5.376344,1.075269,52.60793,85.27419,83.66013,91.59664,96.7742,62.4173,49.91499,50,48.97991,3,33,11,35
105001005291,73.81323,71.00333,68.79401,67.14575,44.48,45.01,0,0,46.27,42.42,0,0,51.93589,52.55022,76.08696,69.44444,92.64706,55.79602,53.10432,38.91196,28.84151,0,7,0,11
105001005339,72.85081,75.66913,75.0094,64.11073,44.48,47.14,0,0,46.16,42.33,1.030928,0,37.6129,50.85007,97.10624,90.60403,81.4433,37.55437,36.30693,50,49.55829,0,4,0,6
105001005347,65.65382,66.88254,64.99322,66.57073,44.48,47.14,0,.7575758,46.27,42.42,0,.8547009,60.89011,52.55022,91.96912,81.24574,93.16239,,38.50489,,42.13492,0,13,2,10
105001005380,67.84377,70.96503,68.16737,60.33562,,,,,,,,,,,75.68396,,,,,,,,,,
105001005410,71.62813,68.50412,69.5191,70.75396,46.075,47.14,0,0,47.275,45.085,1.282051,0,76.62026,49.70348,97.4359,79.48718,96.15385,36.77634,38.29285,37.00743,25.12232,0,9,0,4
105001005495,68.97793,65.6833,65.83757,60.73234,44.48,47.14,0,0,43.93,42.42,0,0,3.204301,52.55022,88.2353,84.07643,97.72727,56.22332,67.89247,58.84077,62.3871,0,12,4,11
105001005525,63.80748,62.0948,57.00581,59.82512,44.48,42.76,0,0,44.05,39.53,0,0,50.01882,31.33151,91.07143,87.67123,92.10526,50.16762,51.02644,50.42076,53.48991,0,0,0,0
105001005878,69.26619,63.43705,67.02742,67.74767,44.48,42.76,0,0,46.16,42.33,.6329114,0,50.07258,50.85007,80,61.67664,69.62025,51.50856,38.6651,51.87402,32.36793,0,3,1,3
105001006068,75.78587,73.12725,70.11789,72.49341,46.075,45.01,0,0,46.16,42.42,0,0,50.86917,38.73238,95,76.31579,96.20254,80.3947,,52.51603,,2,7,6,34
105001006092,68.76069,65.37081,60.7464,66.80536,44.48,49.19,2.409638,0,48.28,45.01,0,0,63.96815,54.67541,90.21739,96.66666,98.66667,64.52014,71.90986,56.58527,42.11436,0,8,4,11
