dane,nombre,tema_matematica,tema_lenguaje,año_indicador,prmat_bajo_07,prmat_medio_07,prmat_alto_07,prlen_bajo_07,prlen_medio_07,prlen_alto_07,prmat_bajo_07_p,prmat_medio_07_p,prmat_alto_07_p,prlen_bajo_07_p,prlen_medio_07_p,prlen_alto_07_p,tema_lenguaje_d,tema_matematica_d,prmat_bajo_10,prmat_medio_10,prmat_alto_10,prlen_bajo_10,prlen_medio_10,prlen_alto_10,prmat_bajo_10_p,prmat_medio_10_p,prmat_alto_10_p,prlen_bajo_10_p,prlen_medio_10_p,prlen_alto_10_p,Progresolen11,Progresomat11,aprobación5,aprobación9,aprobación11a,aprobación11t,Extraedad,textra,rtextra,categoria_10,categoria_07,varcolegios11,Progresolen5,Progresolen9,Progresomat5,Progresomat9,rango1_l5r,rango2_l5r,rango3_l5r,rango4_l5r,rango5_l5r,rango6_l5r,rango1_m5r,rango2_m5r,rango3_m5r,rango4_m5r,rango5_m5r,rango6_m5r,rango1_l9r,rango2_l9r,rango3_l9r,rango4_l9r,rango5_l9r,rango6_l9r,rango1_m9r,rango2_m9r,rango3_m9r,rango4_m9r,rango5_m9r,rango6_m9r,insuficiente_m9,minimo_m9,satisfactorio_m9,avanzado_m9,insuficiente_m5,minimo_m5,satisfactorio_m5,avanzado_m5,insuficiente_l9,minimo_l9,satisfactorio_l9,avanzado_l9,insuficiente_l5,minimo_l5,satisfactorio_l5,avanzado_l5,bonus_matematica11,bonus_lenguaje11,bonus_total11,bonus_matematica5,bonus_lenguaje5,bonus_total5
105001000981,"INST EDUC GILBERTO ALZATE AVENDAÑO",44.48,45.01,2011,.0243902,.9756098,0,.0091463,.9908537,0,2.439024,97.56097,0,.9146341,99.08537,0,44.05,42.42,.1043771,.8922559,.003367,.013468,.986532,0,10.43771,89.22559,.3367003,1.346801,98.6532,0,50.07902,52.55022,.9327592,.7429578,.6176471,.8903226,57,.1919192,.8080808,"Medio","Bajo",1,,55.7705,,16.68548,6,20,28,25,10,11,31,23,21,8,9,8,13,23,30,27,6,1,20,40,27,11,1,1,20,67,12,1,31,44,17,8,13,53,33,1,6,48,35,11,2,2,4,1,2,3
105001000990,"INST EDUC GONZALO RESTREPO JARAMILLO",44.48,47.14,2011,.0154639,.9845361,0,.0103093,.9896907,0,1.546392,98.45361,0,1.030928,98.96907,0,46.27,42.33,.1242236,.8757764,0,0,1,0,12.42236,87.57764,0,0,100,0,60.89011,50.85007,.9886364,.9783784,.952381,1,14,.0869565,.9130435,"Medio","Medio",0,,62.80713,,51.28071,7,11,25,25,18,15,22,24,20,15,4,15,9,15,29,23,18,7,15,31,43,8,2,1,15,74,10,1,22,44,19,15,9,44,41,7,7,36,43,15,1,1,2,2,3,5
105001001023,"INST EDUC ANTONIO RICAURTE",47.67,49.19,2011,0,1,0,0,1,0,0,100,0,0,100,0,44.05,42.42,.0895522,.9104478,0,0,1,0,8.955224,91.04478,0,0,100,0,26.12233,40.14207,.9770115,.9868421,1,,1,.0149254,.9850746,"Medio","Medio",0,41.09042,,57.0612,,17,25,15,17,15,11,26,19,22,9,11,13,10,18,26,32,14,0,8,34,36,20,2,0,8,70,22,0,26,41,20,13,10,44,46,0,17,40,32,11,1,1,2,1,2,3
105001001121,"INST EDUC JOSE ROBERTO VASQUEZ",44.48,49.19,2011,.015748,.984252,0,0,1,0,1.574803,98.4252,0,0,100,0,46.16,42.42,.0526316,.9473684,0,.0315789,.968421,0,5.263158,94.73685,0,3.157895,96.8421,0,33.25,52.55022,.9788733,.8,1,.9274194,5,.0526316,.9473684,"Medio","Medio",0,,42.87234,,47.50532,7,18,18,31,15,11,31,19,19,12,9,11,11,18,28,33,9,1,26,38,26,7,2,1,26,64,9,1,31,38,21,11,11,46,42,1,7,36,46,11,2,2,4,2,2,4
105001001155,"INST EDUC SAN JUAN BAUTISTA DE LA SALLE",44.48,45.01,2011,.0240964,.9759036,0,.0240964,.9759036,0,2.409638,97.59036,0,2.409638,97.59036,0,46.215,45.01,.0517241,.9310345,.0172414,0,1,0,5.172414,93.10345,1.724138,0,100,0,51.81736,54.67541,.8852459,.8761062,.95,,7,.1206897,.8793104,"Medio","Bajo",1,44.66644,26.0055,53.09793,45.05996,13,24,29,19,11,3,37,21,21,13,7,2,21,36,21,16,5,0,14,37,27,21,0,2,14,64,21,2,37,42,20,2,21,57,21,0,13,53,30,3,2,2,4,1,2,3
105001001198,"INST  EDUC AURES",44.48,47.14,2011,.1304348,.8695652,0,0,1,0,13.04348,86.95652,0,0,100,0,46.27,45.01,.0625,.9375,0,0,1,0,6.25,93.75,0,0,100,0,60.89011,54.67541,.8780488,.8571429,.9705882,,4,.125,.875,"Medio","Bajo",1,57.48404,,53.12337,,15,11,34,26,7,8,36,25,19,13,6,2,14,26,33,16,12,0,26,41,31,2,0,0,26,72,2,0,36,44,19,2,14,59,28,0,15,45,33,8,1,2,3,2,1,3
105001001236,"INST EDUC REPUBLICA DE BARBADOS",40.82,47.14,2011,.0327869,.9672131,0,.0327869,.9672131,0,3.278688,96.72131,0,3.278688,96.72131,0,46.27,42.42,.0697674,.9069768,.0232558,0,1,0,6.976745,90.69768,2.325581,0,100,0,60.89011,50.10484,.8561151,.8513514,,.9302326,5,.1162791,.8837209,"Medio","Bajo",1,62.73996,46.98526,59.07509,62.23036,12,15,24,24,13,12,24,15,23,18,9,10,28,24,17,26,6,0,22,35,31,9,4,0,22,66,13,0,24,38,27,10,28,41,32,0,12,39,37,12,3,2,5,2,3,5
105001001252,"INST EDUC CRISTOBAL COLON",44.48,47.14,2011,.0280374,.9719626,0,.0093458,.9906542,0,2.803738,97.19627,0,.9345794,99.06542,0,44.05,42.42,.1153846,.8846154,0,.025641,.974359,0,11.53846,88.46153,0,2.564103,97.4359,0,10.08602,52.55022,.948718,.8105263,.92,,6,.0769231,.9230769,"Medio","Medio",0,36.59131,55.95338,28.54492,43.90189,14,27,25,22,8,4,45,19,20,6,3,6,10,33,21,30,5,1,26,37,30,7,0,0,26,67,7,0,45,39,9,6,10,54,35,1,14,52,30,4,2,2,4,2,3,5
105001001279,"INST EDUC CIRO MENDIA",40.82,45.01,2011,.0342857,.9657143,0,.0114286,.9828572,.0057143,3.428571,96.57143,0,1.142857,98.28571,.5714285,43.93,42.33,.0828025,.9171975,0,0,1,0,8.280255,91.71975,0,0,100,0,42.5327,50.05107,.9789916,.6159539,.7862595,,48,.3057325,.6942675,"Bajo","Bajo",0,47.74434,31.35982,43.40525,48.90352,3,16,20,33,17,11,22,26,21,14,8,9,21,34,24,20,1,0,33,53,11,4,0,0,33,64,4,0,22,47,22,9,21,58,21,0,3,36,50,11,2,1,3,1,2,3
105001001317,"INST EDUC MADRE MARIA MAZARELLO",50.54,53.22,2011,0,.972973,.027027,0,1,0,0,97.2973,2.702703,0,100,0,50.31,47.7,.0344828,.9310345,.0344828,0,1,0,3.448276,93.10345,3.448276,0,100,0,49.94413,49.9581,.9333333,.9480519,1,,2,.0344828,.9655172,"Superior","Superior",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105001001368,"INST EDUC ALVARO MARIN VELASCO",40.82,48.165,2011,.0294118,.9705882,0,0,1,0,2.941176,97.05882,0,0,100,0,44.05,40.93,.1470588,.8529412,0,0,1,0,14.70588,85.29411,0,0,100,0,23.13208,50.04032,.9411765,.8679245,.8484849,,7,.2058824,.7941176,"Bajo","Bajo",0,49.42215,,49.77957,,24,30,27,6,6,6,59,12,24,6,0,0,21,40,26,13,0,0,44,51,5,0,0,0,44,56,0,0,59,36,6,0,21,66,13,0,24,57,12,6,1,1,2,,,
105001001473,"INST EDUC MANUELA BELTRAN",44.48,47.14,2011,.0246914,.9753087,0,0,1,0,2.469136,97.53087,0,0,100,0,46.27,42.33,.0675676,.9189189,.0135135,0,1,0,6.756756,91.89189,1.351351,0,100,0,60.89011,50.85007,.9079754,.8609272,.9666666,,11,.1486486,.8513514,"Bajo","Bajo",0,58.90958,56.62478,55.53006,36.43365,14,16,32,19,11,10,27,26,21,17,2,7,13,22,31,25,8,0,33,36,17,12,1,0,33,53,13,0,27,47,19,7,13,53,33,0,14,48,30,10,1,1,2,1,1,2
105001001490,"INST EDUC LOLA GONZALEZ",44.48,49.19,2011,.0321429,.9678571,0,.0035714,.9964285,0,3.214286,96.78571,0,.3571429,99.64285,0,48.28,45.16,.0436364,.9563636,0,.0181818,.9745455,.0072727,4.363636,95.63636,0,1.818182,97.45454,.7272727,63.96815,55.95052,.9647887,.9078212,.9431818,.723301,8,.0290909,.9709091,"Alto","Medio",1,,47.77368,,61.97648,6,18,16,26,18,17,20,14,20,19,11,14,5,15,23,39,16,3,10,28,38,17,7,1,10,66,24,1,20,34,30,14,5,38,55,3,6,34,44,17,,,,,,
105001001562,"INST EDUC JAVIERA LONDOÑO",44.48,49.19,2011,.0111524,.9888476,0,0,.9962825,.0037175,1.115242,98.88476,0,0,99.62825,.3717472,50.31,47.59,.03125,.965625,.003125,.00625,.990625,.003125,3.125,96.5625,.3125,.625,99.0625,.3125,83.17436,56.63058,1,.974359,.9333333,.9071429,15,.046875,.953125,"Alto","Alto",0,,68.44311,,66.76646,4,19,19,32,18,9,16,23,25,18,10,9,2,9,17,41,27,4,8,29,41,17,5,1,8,70,22,1,16,48,28,9,2,26,68,4,4,38,50,9,,,,,,
105001001635,"INST EDUC YERMO Y PARRES",46.075,49.19,2011,.0076923,.9846154,.0076923,0,1,0,.7692308,98.46154,.7692308,0,100,0,48.37,47.59,.0379747,.9367089,.0253165,0,1,0,3.797468,93.67088,2.531646,0,100,0,77.9363,68.51821,.9603174,.8710043,.8913044,.9747899,3,.0189873,.9810126,"Alto","Alto",0,,78.22883,,53.5286,8,12,24,20,20,16,13,14,21,21,8,22,0,11,25,38,24,4,6,18,33,31,8,5,6,51,39,5,13,35,29,22,0,36,62,4,8,36,40,16,,,,,,
105001001651,"INST EDUC JOSE CELESTINO MUTIS",44.48,47.14,2011,.0196078,.9803922,0,0,1,0,1.960784,98.03922,0,0,100,0,46.16,46.375,.0365854,.9634146,0,.0121951,.9878049,0,3.658536,96.34146,0,1.219512,98.78049,0,37.6129,56.54557,.9210526,.9761904,.9506173,,5,.0609756,.9390244,"Medio","Medio",0,54.05738,58.29776,56.78852,41.95435,11,27,21,18,16,7,30,26,16,12,7,9,9,11,35,35,9,2,13,36,31,16,0,4,13,67,16,4,30,42,19,9,9,46,44,2,11,48,34,7,,,,,,
105001001660,"INST EDUC JOSE ANTONIO GALAN",44.48,47.14,2011,.0246914,.9753087,0,.0123457,.9876543,0,2.469136,97.53087,0,1.234568,98.76543,0,46.16,39.53,.109589,.890411,0,.0136986,.9863014,0,10.9589,89.0411,0,1.369863,98.63013,0,37.6129,31.33151,.8938053,.75,.9333333,,10,.1369863,.8630137,"Bajo","Medio",-1,23.32435,31.93456,28.58911,50.41981,29,23,27,14,3,4,44,23,22,6,3,3,38,22,18,18,4,0,31,33,24,11,2,0,31,57,13,0,44,45,9,3,38,40,22,0,29,50,17,4,1,2,3,1,1,2
105001001686,"INST EDUC RICARDO URIBE ESCOBAR",44.48,45.01,2011,.025,.975,0,0,1,0,2.5,97.5,0,0,100,0,41.64,45.01,0,1,0,0,1,0,0,100,0,0,100,0,37.5545,54.67541,.8846154,.7741935,.9583333,,3,.125,.875,"Bajo","Bajo",0,32.50911,64.11205,55.27041,73.18408,25,25,25,10,15,0,43,14,24,5,5,10,5,19,14,52,10,0,10,62,10,14,5,0,10,72,19,0,43,38,10,10,5,33,62,0,25,50,25,0,3,4,7,3,2,5
105001001791,"INST EDUC GERARDO VALENCIA CANO",44.48,51.21,2011,0,1,0,0,1,0,0,100,0,0,100,0,46.16,47.59,0,.9803922,.0196078,0,1,0,0,98.03922,1.960784,0,100,0,46.71415,56.63058,.9218384,.7058824,.88,,2,.0392157,.9607843,"Alto","Medio",1,66.33516,55.48241,65.2066,34.06517,6,14,21,32,15,13,9,25,19,22,8,18,11,13,43,19,15,0,9,22,52,15,2,0,9,74,17,0,9,44,30,18,11,56,34,0,6,35,47,13,2,2,4,2,3,5
105001001805,"INST EDUC FE Y ALEGRIA POPULAR NRO. 1",42.65,45.01,2011,.0666667,.9333333,0,.0333333,.9666666,0,6.666667,93.33334,0,3.333333,96.66666,0,44.05,42.33,.1445783,.8554217,0,0,1,0,14.45783,85.54217,0,0,100,0,50.07902,50.72992,.9517544,.8442623,1,.975,9,.1084337,.8915663,"Bajo","Bajo",0,51.29347,30.25806,53.28463,25.03226,26,23,22,17,9,3,36,24,18,13,7,2,18,30,26,23,4,0,40,34,21,5,0,0,40,55,5,0,36,42,20,2,18,56,27,0,26,45,26,3,2,3,5,3,2,5
105001001848,"INST EDUC SOR JUANA INES DE LA CRUZ",47.67,49.19,2011,.0338983,.9491525,.0169492,0,1,0,3.389831,94.91525,1.694915,0,100,0,46.27,45.16,.0422535,.915493,.0422535,.0140845,.9859155,0,4.225352,91.54929,4.225352,1.408451,98.59155,0,42.87234,49.75956,.8305085,.8617021,.9324324,,1,.0140845,.9859155,"Medio","Alto",-1,65.41885,77.29032,63.59212,80.19355,2,12,18,25,25,18,10,17,19,17,22,15,4,8,17,42,24,5,3,14,39,27,10,8,3,53,37,8,10,36,39,15,4,25,66,5,2,30,50,18,,,,,,
105001001881,"INST EDUC CARLOS VIECO ORTIZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.9772991,.9120879,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
